Location,Date,Sea level [mm]
World,1880-04-15,-183.31406
World,1880-07-15,-183.24739
World,1880-10-15,-174.1474
World,1881-01-15,-159.68073
World,1881-04-15,-172.41406
World,1881-07-15,-174.01407
World,1881-10-15,-186.0474
World,1882-01-15,-189.48073
World,1882-04-15,-184.21407
World,1882-07-15,-190.08073
World,1882-10-15,-202.5474
World,1883-01-15,-204.38072
World,1883-04-15,-192.48073
World,1883-07-15,-185.1474
World,1883-10-15,-179.81406
World,1884-01-15,-166.61406
World,1884-04-15,-158.98073
World,1884-07-15,-166.28073
World,1884-10-15,-174.51407
World,1885-01-15,-173.3474
World,1885-04-15,-166.61406
World,1885-07-15,-167.68073
World,1885-10-15,-166.58073
World,1886-01-15,-171.11406
World,1886-04-15,-164.08073
World,1886-07-15,-164.21407
World,1886-10-15,-178.98073
World,1887-01-15,-184.18073
World,1887-04-15,-180.78073
World,1887-07-15,-170.21407
World,1887-10-15,-171.88072
World,1888-01-15,-175.88072
World,1888-04-15,-177.71407
World,1888-07-15,-172.61406
World,1888-10-15,-170.41406
World,1889-01-15,-171.08073
World,1889-04-15,-167.98073
World,1889-07-15,-169.71407
World,1889-10-15,-177.1474
World,1890-01-15,-176.5474
World,1890-04-15,-160.71407
World,1890-07-15,-166.98073
World,1890-10-15,-175.28073
World,1891-01-15,-186.48073
World,1891-04-15,-171.01407
World,1891-07-15,-167.71407
World,1891-10-15,-168.21407
World,1892-01-15,-167.5474
World,1892-04-15,-163.41406
World,1892-07-15,-167.58073
World,1892-10-15,-176.08073
World,1893-01-15,-170.81406
World,1893-04-15,-160.8474
World,1893-07-15,-162.98073
World,1893-10-15,-164.48073
World,1894-01-15,-170.08073
World,1894-04-15,-173.21407
World,1894-07-15,-176.88072
World,1894-10-15,-177.01407
World,1895-01-15,-161.11406
World,1895-04-15,-166.0474
World,1895-07-15,-163.1474
World,1895-10-15,-158.74739
World,1896-01-15,-171.4474
World,1896-04-15,-172.88072
World,1896-07-15,-160.31406
World,1896-10-15,-169.8474
World,1897-01-15,-173.38072
World,1897-04-15,-162.48073
World,1897-07-15,-152.1474
World,1897-10-15,-168.9474
World,1898-01-15,-169.24739
World,1898-04-15,-147.9474
World,1898-07-15,-157.11406
World,1898-10-15,-155.61406
World,1899-01-15,-150.58073
World,1899-04-15,-149.88072
World,1899-07-15,-151.68073
World,1899-10-15,-140.08073
World,1900-01-15,-150.31406
World,1900-04-15,-151.78073
World,1900-07-15,-152.0474
World,1900-10-15,-155.38072
World,1901-01-15,-155.4474
World,1901-04-15,-156.58073
World,1901-07-15,-156.5474
World,1901-10-15,-147.48073
World,1902-01-15,-145.58073
World,1902-04-15,-150.78073
World,1902-07-15,-153.71407
World,1902-10-15,-145.41406
World,1903-01-15,-144.81406
World,1903-04-15,-134.61406
World,1903-07-15,-138.3474
World,1903-10-15,-145.71407
World,1904-01-15,-144.78073
World,1904-04-15,-147.74739
World,1904-07-15,-152.24739
World,1904-10-15,-155.08073
World,1905-01-15,-160.5474
World,1905-04-15,-160.81406
World,1905-07-15,-154.41406
World,1905-10-15,-150.81406
World,1906-01-15,-154.9474
World,1906-04-15,-150.41406
World,1906-07-15,-146.8474
World,1906-10-15,-148.98073
World,1907-01-15,-151.1474
World,1907-04-15,-147.28073
World,1907-07-15,-147.38072
World,1907-10-15,-157.0474
World,1908-01-15,-154.48073
World,1908-04-15,-153.9474
World,1908-07-15,-149.61406
World,1908-10-15,-156.48073
World,1909-01-15,-152.31406
World,1909-04-15,-146.31406
World,1909-07-15,-152.78073
World,1909-10-15,-148.6474
World,1910-01-15,-150.8474
World,1910-04-15,-150.9474
World,1910-07-15,-146.31406
World,1910-10-15,-148.71407
World,1911-01-15,-149.1474
World,1911-04-15,-144.08073
World,1911-07-15,-141.38072
World,1911-10-15,-133.58073
World,1912-01-15,-142.9474
World,1912-04-15,-149.68073
World,1912-07-15,-142.6474
World,1912-10-15,-141.08073
World,1913-01-15,-142.0474
World,1913-04-15,-150.21407
World,1913-07-15,-140.31406
World,1913-10-15,-136.11406
World,1914-01-15,-137.5474
World,1914-04-15,-139.6474
World,1914-07-15,-143.61406
World,1914-10-15,-132.18073
World,1915-01-15,-108.7474
World,1915-04-15,-124.214066
World,1915-07-15,-135.9474
World,1915-10-15,-136.3474
World,1916-01-15,-129.58073
World,1916-04-15,-125.58073
World,1916-07-15,-134.78073
World,1916-10-15,-132.61406
World,1917-01-15,-127.78073
World,1917-04-15,-137.38072
World,1917-07-15,-134.48073
World,1917-10-15,-135.68073
World,1918-01-15,-134.41406
World,1918-04-15,-138.5474
World,1918-07-15,-135.71407
World,1918-10-15,-134.1474
World,1919-01-15,-141.0474
World,1919-04-15,-138.38072
World,1919-07-15,-128.48073
World,1919-10-15,-130.78073
World,1920-01-15,-138.31406
World,1920-04-15,-134.81406
World,1920-07-15,-127.18073
World,1920-10-15,-133.78073
World,1921-01-15,-131.91406
World,1921-04-15,-126.814064
World,1921-07-15,-129.5474
World,1921-10-15,-136.5474
World,1922-01-15,-131.9474
World,1922-04-15,-129.88072
World,1922-07-15,-133.6474
World,1922-10-15,-134.74739
World,1923-01-15,-128.58073
World,1923-04-15,-126.51406
World,1923-07-15,-129.5474
World,1923-10-15,-134.28073
World,1924-01-15,-138.71407
World,1924-04-15,-136.38072
World,1924-07-15,-138.98073
World,1924-10-15,-139.01407
World,1925-01-15,-135.61406
World,1925-04-15,-137.11406
World,1925-07-15,-138.4474
World,1925-10-15,-135.8474
World,1926-01-15,-133.21407
World,1926-04-15,-135.58073
World,1926-07-15,-126.28073
World,1926-10-15,-122.68073
World,1927-01-15,-133.5474
World,1927-04-15,-128.71407
World,1927-07-15,-127.7474
World,1927-10-15,-131.98073
World,1928-01-15,-138.51407
World,1928-04-15,-134.58073
World,1928-07-15,-128.88072
World,1928-10-15,-133.88072
World,1929-01-15,-141.3474
World,1929-04-15,-133.11406
World,1929-07-15,-129.08073
World,1929-10-15,-131.4474
World,1930-01-15,-134.6474
World,1930-04-15,-136.01407
World,1930-07-15,-122.91406
World,1930-10-15,-124.78073
World,1931-01-15,-130.8474
World,1931-04-15,-130.08073
World,1931-07-15,-126.7474
World,1931-10-15,-131.21407
World,1932-01-15,-126.714066
World,1932-04-15,-124.41406
World,1932-07-15,-125.14739
World,1932-10-15,-122.64739
World,1933-01-15,-117.54739
World,1933-04-15,-116.314064
World,1933-07-15,-119.98073
World,1933-10-15,-122.88073
World,1934-01-15,-123.8474
World,1934-04-15,-120.64739
World,1934-07-15,-127.3474
World,1934-10-15,-128.5474
World,1935-01-15,-119.3474
World,1935-04-15,-116.11406
World,1935-07-15,-118.14739
World,1935-10-15,-123.7474
World,1936-01-15,-120.51406
World,1936-04-15,-124.947395
World,1936-07-15,-124.814064
World,1936-10-15,-124.08073
World,1937-01-15,-119.714066
World,1937-04-15,-117.54739
World,1937-07-15,-119.88073
World,1937-10-15,-115.8474
World,1938-01-15,-110.91406
World,1938-04-15,-112.11406
World,1938-07-15,-121.54739
World,1938-10-15,-115.14739
World,1939-01-15,-114.58073
World,1939-04-15,-111.54739
World,1939-07-15,-101.48073
World,1939-10-15,-112.01406
World,1940-01-15,-111.91406
World,1940-04-15,-117.48073
World,1940-07-15,-121.68073
World,1940-10-15,-111.18073
World,1941-01-15,-106.01406
World,1941-04-15,-103.41406
World,1941-07-15,-100.7474
World,1941-10-15,-101.48073
World,1942-01-15,-107.2474
World,1942-04-15,-108.3474
World,1942-07-15,-101.447395
World,1942-10-15,-97.04739
World,1943-01-15,-97.88073
World,1943-04-15,-98.51406
World,1943-07-15,-104.01406
World,1943-10-15,-107.98073
World,1944-01-15,-105.2474
World,1944-04-15,-102.814064
World,1944-07-15,-116.947395
World,1944-10-15,-112.88073
World,1945-01-15,-107.64739
World,1945-04-15,-107.01406
World,1945-07-15,-104.447395
World,1945-10-15,-108.447395
World,1946-01-15,-103.54739
World,1946-04-15,-98.68073
World,1946-07-15,-92.68073
World,1946-10-15,-101.01406
World,1947-01-15,-104.28073
World,1947-04-15,-101.7474
World,1947-07-15,-97.447395
World,1947-10-15,-86.8474
World,1948-01-15,-87.3474
World,1948-04-15,-92.98073
World,1948-07-15,-91.814064
World,1948-10-15,-90.8474
World,1949-01-15,-87.314064
World,1949-04-15,-92.54739
World,1949-07-15,-95.41406
World,1949-10-15,-93.68073
World,1950-01-15,-92.28073
World,1950-04-15,-92.2474
World,1950-07-15,-91.447395
World,1950-10-15,-87.61406
World,1951-01-15,-82.01406
World,1951-04-15,-74.01406
World,1951-07-15,-82.314064
World,1951-10-15,-83.947395
World,1952-01-15,-85.08073
World,1952-04-15,-86.98073
World,1952-07-15,-84.48073
World,1952-10-15,-79.61406
World,1953-01-15,-76.8474
World,1953-04-15,-78.28073
World,1953-07-15,-75.3474
World,1953-10-15,-82.214066
World,1954-01-15,-82.18073
World,1954-04-15,-81.2474
World,1954-07-15,-86.714066
World,1954-10-15,-80.814064
World,1955-01-15,-72.38073
World,1955-04-15,-79.61406
World,1955-07-15,-87.447395
World,1955-10-15,-81.7474
World,1956-01-15,-82.38073
World,1956-04-15,-82.38073
World,1956-07-15,-86.58073
World,1956-10-15,-90.01406
World,1957-01-15,-83.01406
World,1957-04-15,-70.11406
World,1957-07-15,-69.54739
World,1957-10-15,-72.8474
World,1958-01-15,-72.2474
World,1958-04-15,-73.314064
World,1958-07-15,-72.91406
World,1958-10-15,-68.814064
World,1959-01-15,-68.714066
World,1959-04-15,-73.11406
World,1959-07-15,-70.214066
World,1959-10-15,-69.91406
World,1960-01-15,-70.38073
World,1960-04-15,-66.48073
World,1960-07-15,-66.88073
World,1960-10-15,-67.58073
World,1961-01-15,-60.247395
World,1961-04-15,-56.247395
World,1961-07-15,-60.747395
World,1961-10-15,-65.64739
World,1962-01-15,-66.68073
World,1962-04-15,-67.61406
World,1962-07-15,-68.04739
World,1962-10-15,-63.414062
World,1963-01-15,-63.88073
World,1963-04-15,-65.51406
World,1963-07-15,-69.91406
World,1963-10-15,-69.01406
World,1964-01-15,-77.947395
World,1964-04-15,-81.947395
World,1964-07-15,-70.98073
World,1964-10-15,-73.11406
World,1965-01-15,-66.18073
World,1965-04-15,-67.04739
World,1965-07-15,-66.314064
World,1965-10-15,-60.747395
World,1966-01-15,-64.28073
World,1966-04-15,-70.08073
World,1966-07-15,-70.48073
World,1966-10-15,-71.68073
World,1967-01-15,-72.91406
World,1967-04-15,-73.8474
World,1967-07-15,-66.447395
World,1967-10-15,-63.947395
World,1968-01-15,-63.48073
World,1968-04-15,-75.48073
World,1968-07-15,-72.814064
World,1968-10-15,-60.01406
World,1969-01-15,-59.71406
World,1969-04-15,-60.314064
World,1969-07-15,-62.614063
World,1969-10-15,-60.347397
World,1970-01-15,-61.239754
World,1970-04-15,-66.58982
World,1970-07-15,-67.80814
World,1970-10-15,-64.95967
World,1971-01-15,-59.363434
World,1971-04-15,-57.29109
World,1971-07-15,-61.517647
World,1971-10-15,-60.111954
World,1972-01-15,-57.45813
World,1972-04-15,-48.01152
World,1972-07-15,-43.744003
World,1972-10-15,-48.077164
World,1973-01-15,-53.006943
World,1973-04-15,-57.22708
World,1973-07-15,-59.698135
World,1973-10-15,-55.990765
World,1974-01-15,-44.539375
World,1974-04-15,-41.292313
World,1974-07-15,-42.417545
World,1974-10-15,-44.02791
World,1975-01-15,-41.241356
World,1975-04-15,-40.25499
World,1975-07-15,-44.544395
World,1975-10-15,-46.368492
World,1976-01-15,-47.445915
World,1976-04-15,-43.38576
World,1976-07-15,-40.149914
World,1976-10-15,-41.390762
World,1977-01-15,-44.83496
World,1977-04-15,-49.700874
World,1977-07-15,-48.469437
World,1977-10-15,-45.605217
World,1978-01-15,-41.263718
World,1978-04-15,-41.87924
World,1978-07-15,-45.392
World,1978-10-15,-47.432053
World,1979-01-15,-53.21401
World,1979-04-15,-51.85539
World,1979-07-15,-48.350372
World,1979-10-15,-42.4946
World,1980-01-15,-39.625687
World,1980-04-15,-40.11137
World,1980-07-15,-41.426975
World,1980-10-15,-38.298462
World,1981-01-15,-30.473028
World,1981-04-15,-28.629116
World,1981-07-15,-28.660316
World,1981-10-15,-27.932323
World,1982-01-15,-30.790474
World,1982-04-15,-34.049545
World,1982-07-15,-33.78492
World,1982-10-15,-26.993576
World,1983-01-15,-24.037432
World,1983-04-15,-23.200077
World,1983-07-15,-27.123318
World,1983-10-15,-32.07189
World,1984-01-15,-31.579437
World,1984-04-15,-27.57409
World,1984-07-15,-25.042776
World,1984-10-15,-27.789917
World,1985-01-15,-33.6156
World,1985-04-15,-35.50844
World,1985-07-15,-35.006775
World,1985-10-15,-35.20057
World,1986-01-15,-34.12176
World,1986-04-15,-32.84495
World,1986-07-15,-33.036102
World,1986-10-15,-33.46858
World,1987-01-15,-29.50557
World,1987-04-15,-28.905087
World,1987-07-15,-31.398552
World,1987-10-15,-34.31563
World,1988-01-15,-27.977766
World,1988-04-15,-27.385836
World,1988-07-15,-26.959595
World,1988-10-15,-26.687881
World,1989-01-15,-29.964073
World,1989-04-15,-24.269043
World,1989-07-15,-23.321655
World,1989-10-15,-21.814396
World,1990-01-15,-23.400215
World,1990-04-15,-24.065578
World,1990-07-15,-18.384459
World,1990-10-15,-16.365501
World,1991-01-15,-18.155539
World,1991-04-15,-17.585604
World,1991-07-15,-15.895484
World,1991-10-15,-12.688824
World,1992-01-15,-11.176675
World,1992-04-15,-13.239227
World,1992-07-15,-16.478315
World,1992-10-15,-16.6333
World,1993-01-15,-18.138348
World,1993-04-15,-16.58892
World,1993-07-15,-22.540112
World,1993-10-15,-27.44191
World,1994-01-15,-21.28105
World,1994-04-15,-17.63631
World,1994-07-15,-17.081596
World,1994-10-15,-16.77565
World,1995-01-15,-13.530466
World,1995-04-15,-12.134506
World,1995-07-15,-13.289076
World,1995-10-15,-10.507252
World,1996-01-15,-7.0586605
World,1996-04-15,-12.199058
World,1996-07-15,-11.453928
World,1996-10-15,-7.3500957
World,1997-01-15,-6.436465
World,1997-04-15,-1.2111517
World,1997-07-15,-2.558639
World,1997-10-15,-2.010909
World,1998-01-15,-2.1894345
World,1998-04-15,-10.064292
World,1998-07-15,-10.490353
World,1998-10-15,-8.180469
World,1999-01-15,-5.997317
World,1999-04-15,-0.9086797
World,1999-07-15,-0.60470694
World,1999-10-15,-2.4553642
World,2000-01-15,-5.175822
World,2000-04-15,0.16506796
World,2000-07-15,0.3285905
World,2000-10-15,-3.5677967
World,2001-01-15,0.737351
World,2001-04-15,3.4225836
World,2001-07-15,4.032696
World,2001-10-15,3.3985643
World,2002-01-15,-1.0583739
World,2002-04-15,-1.5677798
World,2002-07-15,1.0863256
World,2002-10-15,3.369915
World,2003-01-15,3.2469401
World,2003-04-15,5.2881327
World,2003-07-15,10.772442
World,2003-10-15,11.865768
World,2004-01-15,7.560922
World,2004-04-15,7.7018003
World,2004-07-15,10.598084
World,2004-10-15,8.706165
World,2005-01-15,9.023991
World,2005-04-15,9.132556
World,2005-07-15,10.464698
World,2005-10-15,7.78977
World,2006-01-15,9.364914
World,2006-04-15,14.767066
World,2006-07-15,12.414188
World,2006-10-15,13.230967
World,2007-01-15,6.524319
World,2007-04-15,10.045722
World,2007-07-15,18.537277
World,2007-10-15,16.01026
World,2008-01-15,16.568615
World,2008-04-15,23.630562
World,2008-07-15,27.627108
World,2008-10-15,22.071127
World,2009-01-15,18.866402
World,2009-04-15,23.533848
World,2009-07-15,31.035536
World,2009-10-15,36.907307
World,2010-01-15,38.776936
World,2010-04-15,34.88547
World,2010-07-15,33.87824
World,2010-10-15,37.251026
World,2011-01-15,37.34795
World,2011-04-15,35.97776
World,2011-07-15,36.71847
World,2011-10-15,34.682507
World,2012-01-15,34.20025
World,2012-04-15,41.720886
World,2012-07-15,47.173904
World,2012-10-15,46.271473
World,2013-01-15,44.80457
World,2013-04-15,44.577915
World,2013-07-15,41.337986
World,2013-10-15,37.38712
World,2014-01-15,41.268642
World,2014-04-15,48.816914
World,2014-07-15,53.857372
World,2014-10-15,55.675884
World,2015-01-15,53.264576
World,2015-04-15,50.08209
World,2015-07-15,50.461704
World,2015-10-15,54.90935
World,2016-01-15,58.723286
World,2016-04-15,56.711594
World,2016-07-15,54.346962
World,2016-10-15,55.541004
World,2017-01-15,54.96168
World,2017-04-15,55.612373
World,2017-07-15,57.35599
World,2017-10-15,52.51952
World,2018-01-15,49.370857
World,2018-04-15,52.57545
World,2018-07-15,53.08512
World,2018-10-15,53.301662
World,2019-01-15,56.607487
World,2019-04-15,58.671906
World,2019-07-15,61.393715
World,2019-10-15,67.24985
World,2020-01-15,68.81163
World,2020-04-15,66.73996
World,2020-07-15,66.70432
World,2020-10-15,61.74304
